"id","designation","valid_for_form1","valid_for_form2","valid_for_form3"
"02","Director","true","true","true"
"04","Principal","true","true","true"
"05","Professor & Equivalent","true","true","true"
"06","Associate Professor","true","true","true"
"07","Reader","true","true","true"
"08","Lecturer (Selection Grade)","true","true","true"
"09","Assistant Professor","true","true","true"
"10","Lecturer (Senior Scale)","true","true","true"
"11","Lecturer","true","true","true"
"12","Tutor","true","true","true"
"13","Demonstrator","true","true","true"
"14","Part-Time Teacher","true","true","true"
"15","Ad hoc Teacher","true","true","true"
"16","Temporary Teacher","true","true","true"
"17","Contract Teacher","true","true","true"
"18","Visiting Teacher","true","true","true"
"99","ALL","true","true","true"
"01","Vice-Chancellor","true","false","false"
"03","Pro-Vice-Chancellor","true","false","false"
"19","Additional Professor","true","true","true"
